activity_name,date,type,total_distance_km,total_time_seconds,moving_time_seconds,average_speed_km_h,max_speed_km_h,calories,total_elevation_gain,total_elevation_loss,average_grade,average_heart_rate,max_heart_rate,suffer_score,heart_rate_zone1_time,heart_rate_zone2_time,heart_rate_zone3_time,heart_rate_zone4_time,heart_rate_zone5_time,average_watts,max_watts,normalized_power,total_steps,average_stride_length,average_cadence,start_latitude,start_longitude,start_altitude,end_latitude,end_longitude,end_altitude
Course à pied en soirée,2024-09-05T19:29:48Z,Run,8.16,3335,3302,8.9,17.02,N/A,64.7,0,N/A,139.3,152.0,17.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-09-03T19:06:40Z,Run,7.61,2598,2566,10.67,25.18,N/A,4.9,0,N/A,145.8,183.0,29.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-08-29T17:39:03Z,Run,8.38,2545,2503,12.05,19.44,N/A,17.8,0,N/A,164.5,186.0,74.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2024-08-26T10:56:12Z,Run,7.72,4143,2898,9.58,27.14,N/A,22.6,0,N/A,149.9,166.0,40.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-08-23T11:32:07Z,Run,7.14,3018,2273,11.3,19.32,N/A,15.1,0,N/A,163.6,182.0,60.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2024-08-17T09:04:54Z,Run,8.59,2850,2850,10.85,22.56,N/A,50.6,0,N/A,162.1,175.0,78.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-08-13T18:48:18Z,Run,5.73,1749,1722,11.97,23.18,N/A,0.0,0,N/A,168.8,188.0,60.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-08-13T18:28:45Z,Run,3.18,1131,1116,10.26,15.62,N/A,12.3,0,N/A,140.7,151.0,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-08-08T17:20:21Z,Run,10.12,3772,3330,10.94,22.05,N/A,59.5,0,N/A,164.4,176.0,91.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-08-04T20:40:36Z,Run,4.17,1280,1280,11.73,16.16,N/A,41.0,0,N/A,159.1,168.0,31.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
